ELASTIC
0.000
63
 0.000000e+0	6.300000e-20
 1.000000e-2	4.200000e-20
 1.200000e-2	4.000000e-20
 1.500000e-2	3.690000e-20
 2.000000e-2	3.200000e-20
 2.500000e-2	2.800000e-20
 3.000000e-2	2.480000e-20
 3.500000e-2	2.200000e-20
 4.000000e-2	1.980000e-20
 5.000000e-2	1.590000e-20
 6.000000e-2	1.320000e-20
 8.000000e-2	9.130000e-21
 1.000000e-1	5.990000e-21
 1.250000e-1	3.910000e-21
 1.500000e-1	2.550000e-21
 1.750000e-1	1.620000e-21
 2.000000e-1	1.080000e-21
 2.250000e-1	8.080000e-22
 2.330000e-1	7.810000e-22
 2.350000e-1	7.630000e-22
 2.400000e-1	7.650000e-22
 2.450000e-1	7.860000e-22
 2.500000e-1	8.160000e-22
 2.750000e-1	1.030000e-21
 3.000000e-1	1.390000e-21
 3.500000e-1	2.160000e-21
 4.000000e-1	3.100000e-21
 5.000000e-1	5.070000e-21
 6.000000e-1	6.900000e-21
 7.000000e-1	8.880000e-21
 8.000000e-1	1.070000e-20
 9.000000e-1	1.240000e-20
 1.000000e+0	1.420000e-20
 1.200000e+0	1.700000e-20
 1.500000e+0	2.090000e-20
 2.000000e+0	2.840000e-20
 2.500000e+0	3.560000e-20
 3.000000e+0	4.310000e-20
 4.000000e+0	5.780000e-20
 5.000000e+0	7.950000e-20
 6.000000e+0	9.710000e-20
 8.000000e+0	1.370000e-19
 1.000000e+1	1.610000e-19
 1.200000e+1	1.640000e-19
 1.500000e+1	1.370000e-19
 2.000000e+1	9.300000e-20
 2.500000e+1	6.680000e-20
 3.000000e+1	5.160000e-20
 4.000000e+1	3.590000e-20
 5.000000e+1	2.900000e-20
 6.000000e+1	2.540000e-20
 8.000000e+1	2.140000e-20
 1.000000e+2	1.910000e-20
 1.200000e+2	1.710000e-20
 1.500000e+2	1.460000e-20
 2.000000e+2	1.120000e-20
 2.500000e+2	8.730000e-21
 3.000000e+2	7.130000e-21
 4.000000e+2	5.180000e-21
 5.000000e+2	3.970000e-21
 6.000000e+2	3.150000e-21
 8.000000e+2	2.190000e-21
 1.000000e+3	1.610000e-21
